text_id,text_uri,title_ar,title_lat,ed_info,collection,tok_length,volumes,page_count,author_id,tags
JK007501,0001AbuTalibCabdManaf.Diwan.JK007501-ara1,ديوان أبو طالب,Diwan,nan,al-Jāmiʿ al-Kabīr,5743,1,93,0001AbuTalibCabdManaf,_SHICR_JAHILI :: _SHICR
JK007502,0001AwsIbnHajar.Diwan.JK007502-ara1,ديوان أوس بن حجر,Diwan,nan,al-Jāmiʿ al-Kabīr,5215,1,84,0001AwsIbnHajar,_SHICR_JAHILI :: _SHICR
JK007522,0001CalqamaFahl.Diwan.JK007522-ara1,ديوان علقمة الفحل,Diwan,nan,al-Jāmiʿ al-Kabīr,2089,1,37,0001CalqamaFahl,_SHICR
JK007524,0001CamrIbnKulthum.Diwan.JK007524-ara1,ديوان عمرو بن كلثوم,Diwan,nan,al-Jāmiʿ al-Kabīr,67,1,2,0001CamrIbnKulthum,_SHICR
ShamAY0038526,0001CamrIbnKulthum.Mucallaqa.ShamAY0038526-ara1,معلقة عمرو بن كلثوم,Mucallaqa,nan,al-Maktaba al-Shāmila AY,871,1,6,0001CamrIbnKulthum,_SHICR
JK007525,0001CamrIbnMalik.Diwan.JK007525-ara1,ديوان عمرو بن مالك,Diwan,nan,al-Jāmiʿ al-Kabīr,1461,1,28,0001CamrIbnMalik,_SHICR_JAHILI :: _SHICR
JK007523,0001CamrIbnQumaya.Diwan.JK007523-ara1,ديوان عمرو بن قميئة,Diwan,nan,al-Jāmiʿ al-Kabīr,2219,1,42,0001CamrIbnQumaya,_SHICR_JAHILI :: _SHICR
JK007526,0001CantaraIbnShaddad.Diwan.JK007526-ara1,ديوان عنترة بن شداد,Diwan,nan,al-Jāmiʿ al-Kabīr,16662,1,238,0001CantaraIbnShaddad,_SHICR
ShamAY0038527,0001CantaraIbnShaddad.Mucallaqa.ShamAY0038527-ara1,معلقة عنترة,Mucallaqa,nan,al-Maktaba al-Shāmila AY,653,1,5,0001CantaraIbnShaddad,_SHICR
JK007521,0001CurwaIbnWard.Diwan.JK007521-ara1,ديوان عروة بن الورد,Diwan,nan,al-Jāmiʿ al-Kabīr,2390,1,47,0001CurwaIbnWard,_SHICR
JK007515,0001HajibIbnMudallil.Diwan.JK007515-ara1,ديوان حاجب بن حبيب,Diwan,nan,al-Jāmiʿ al-Kabīr,205,1,4,0001HajibIbnMudallil,_SHICR_JAHILI :: _SHICR
JK007505,0001HarithIbnHilliza.Diwan.JK007505-ara1,ديوان الحارث بن حلزة,Diwan,nan,al-Jāmiʿ al-Kabīr,1594,1,31,0001HarithIbnHilliza,_SHICR_JAHILI :: _SHICR
ShamAY0038524,0001HarithIbnHilliza.Mucallaqa.ShamAY0038524-ara1,معلقة الحارث اليشكري,Mucallaqa,nan,al-Maktaba al-Shāmila AY,771,1,5,0001HarithIbnHilliza,_SHICR
JK007514,0001HatimTai.Diwan.JK007514-ara1,ديوان حاتم الطائي,Diwan,nan,al-Jāmiʿ al-Kabīr,3790,1,66,0001HatimTai,_SHICR
JK007512,0001ImruQaysIbnHujr.Diwan.JK007512-ara1,ديوان امرؤ القيس,Diwan,nan,al-Jāmiʿ al-Kabīr,5437,1,74,0001ImruQaysIbnHujr,_SHICR_JAHILI :: _SHICR
JK007528,0001LaqitIbnYacmur.Diwan.JK007528-ara1,ديوان لقيط بن يعمر الإيادي,Diwan,nan,al-Jāmiʿ al-Kabīr,629,1,9,0001LaqitIbnYacmur,_SHICR_JAHILI :: _SHICR
JK007529,0001MuhalhilIbnRabica.Diwan.JK007529-ara1,ديوان مهلهل بن ربيعة,Diwan,nan,al-Jāmiʿ al-Kabīr,3525,1,63,0001MuhalhilIbnRabica,_SHICR_JAHILI :: _SHICR
JK007510,0001MuthaqqibCabdi.Diwan.JK007510-ara1,ديوان المثقب العبدي,Diwan,nan,al-Jāmiʿ al-Kabīr,1468,1,27,0001MuthaqqibCabdi,_SHICR
JK007511,0001NabighaDhubyani.Diwan.JK007511-ara1,ديوان النابغة الذبياني,Diwan,nan,al-Jāmiʿ al-Kabīr,6935,1,118,0001NabighaDhubyani,_SHICR_JAHILI :: _SHICR
JK007527,0001QaysIbnKhatim.Diwan.JK007527-ara1,ديوان قيس بن الخطيم,Diwan,nan,al-Jāmiʿ al-Kabīr,3083,1,51,0001QaysIbnKhatim,_SHICR
QuranAnalysis001,0001Quran.Mushaf.QuranAnalysis001-ara1.mARkdown,القران :: المصحف,al-Qurān,https://qurananalysis.com/analysis/full-quran-text.php,NODATA,77912,1,115,0001Quran,_QURAN
JK007517,0001SalamaIbnJandal.Diwan.JK007517-ara1,ديوان سلامة بن جندل,Diwan,nan,al-Jāmiʿ al-Kabīr,2047,1,41,0001SalamaIbnJandal,_SHICR_JAHILI :: _SHICR
JK007508,0001SamawalIbnCadiya.Diwan.JK007508-ara1,ديوان السموأل,Diwan,nan,al-Jāmiʿ al-Kabīr,987,1,19,0001SamawalIbnCadiya,_SHICR
ShamAY0037893,0001Shanfara.Diwan.ShamAY0037893-ara1,ديوان الشنفرى  :: ديوان الشنفرى,Diwan,nan,al-Maktaba al-Shāmila AY,2161,1,36,0001Shanfara,_SHICR
JK007507,0001SulaykIbnSulaka.Diwan.JK007507-ara1,ديوان السليك بن عمرو,Diwan,nan,al-Jāmiʿ al-Kabīr,119,1,6,0001SulaykIbnSulaka,_SHICR
JK007513,0001TaabbataSharran.Diwan.JK007513-ara1,ديوان ثابت بن جابر,Diwan,nan,al-Jāmiʿ al-Kabīr,3145,1,72,0001TaabbataSharran,_SHICR
JK007518,0001TarafaIbnCabd.Diwan.JK007518-ara2,ديوان طرفة بن العبد,Diwan,nan,al-Jāmiʿ al-Kabīr,4161,1,63,0001TarafaIbnCabd,_BALAGHA :: _ADAB :: _SHICR_JAHILI :: _SHICR
JK007519,0001TufaylGhanawi.Diwan.JK007519-ara1,ديوان طفيل الغنوي,Diwan,nan,al-Jāmiʿ al-Kabīr,3972,1,75,0001TufaylGhanawi,_SHICR
JK007516,0001ZuhayrIbnAbiSulma.Diwan.JK007516-ara1,ديوان زهير بن أبي سلمى,Diwan,nan,al-Jāmiʿ al-Kabīr,4431,1,60,0001ZuhayrIbnAbiSulma,_SHICR_JAHILI :: _SHICR
ShamAY0038525,0001ZuhayrIbnAbiSulma.Mucallaqa.ShamAY0038525-ara1,معلقة زهير بن أبي سلمى,Mucallaqa,nan,al-Maktaba al-Shāmila AY,608,1,4,0001ZuhayrIbnAbiSulma,_SHICR
JK007504,0005Hadira.Diwan.JK007504-ara1,ديوان الحادرة,Diwan,nan,al-Jāmiʿ al-Kabīr,900,1,21,0005Hadira,_SHICR
JK007503,0007MaymunIbnQaysAcsha.Diwan.JK007503-ara1.completed,ديوان الأعشى,Diwan,nan,al-Jāmiʿ al-Kabīr,19432,1,250,0007MaymunIbnQaysAcsha,_SHICR_JAHILI :: _SHICR
JK007520,0011CamirIbnTufayl.Diwan.JK007520-ara1,ديوان عامر بن الطفيل,Diwan,nan,al-Jāmiʿ al-Kabīr,3521,1,70,0011CamirIbnTufayl,_SHICR_JAHILI :: _SHICR
JK007536,0021CamrZubaydi.Diwan.JK007536-ara1,ديوان عمرو بن معدي كرب,Diwan,nan,al-Jāmiʿ al-Kabīr,891,1,18,0021CamrZubaydi,_SHICR
JK007533,0022ShammakhIbnDirar.Diwan.JK007533-ara1,ديوان الشماخ بن ضرار,Diwan,nan,al-Jāmiʿ al-Kabīr,5525,1,80,0022ShammakhIbnDirar,_MUKHADRAM :: _SHICR
JK007532,0024TumadirBinCamrKhansa.Diwan.JK007532-ara1,ديوان الخنساء,Diwan,nan,al-Jāmiʿ al-Kabīr,8410,1,129,0024TumadirBinCamrKhansa,_MUKHADRAM :: _SHICR
JK007537,0026KacbIbnZuhayr.Diwan.JK007537-ara1,ديوان كعب بن زهير,Diwan,nan,al-Jāmiʿ al-Kabīr,6212,1,92,0026KacbIbnZuhayr,_MUKHADRAM :: _SHICR
JK007555,0030CurwaIbnHizam.Diwan.JK007555-ara1,ديوان عروة بن حزام,Diwan,nan,al-Jāmiʿ al-Kabīr,1738,1,27,0030CurwaIbnHizam,_SHICR
