text_id,text_uri,title_ar,title_lat,author_id,ed_info,collection,tok_length,page_count,volumes,tags
JK007501,0001AbuTalibCabdManaf.Diwan.JK007501-ara1,ديوان أبو طالب,Diwan,0001AbuTalibCabdManaf,,al-Jāmiʿ al-Kabīr,5743,93,1,_SHICR_JAHILI :: _SHICR
JK007502,0001AwsIbnHajar.Diwan.JK007502-ara1,ديوان أوس بن حجر,Diwan,0001AwsIbnHajar,,al-Jāmiʿ al-Kabīr,5215,84,1,_SHICR_JAHILI :: _SHICR
JK007522,0001CalqamaFahl.Diwan.JK007522-ara1,ديوان علقمة الفحل,Diwan,0001CalqamaFahl,,al-Jāmiʿ al-Kabīr,2089,37,1,_SHICR
JK007524,0001CamrIbnKulthum.Diwan.JK007524-ara1,ديوان عمرو بن كلثوم,Diwan,0001CamrIbnKulthum,,al-Jāmiʿ al-Kabīr,67,2,1,_SHICR
ShamAY0038526,0001CamrIbnKulthum.Mucallaqa.ShamAY0038526-ara1,معلقة عمرو بن كلثوم,Mucallaqa,0001CamrIbnKulthum,,al-Maktaba al-Shāmila AY,871,6,1,_SHICR
JK007525,0001CamrIbnMalik.Diwan.JK007525-ara1,ديوان عمرو بن مالك,Diwan,0001CamrIbnMalik,,al-Jāmiʿ al-Kabīr,1461,28,1,_SHICR_JAHILI :: _SHICR
JK007523,0001CamrIbnQumaya.Diwan.JK007523-ara1,ديوان عمرو بن قميئة,Diwan,0001CamrIbnQumaya,,al-Jāmiʿ al-Kabīr,2219,42,1,_SHICR_JAHILI :: _SHICR
JK007526,0001CantaraIbnShaddad.Diwan.JK007526-ara1,ديوان عنترة بن شداد,Diwan,0001CantaraIbnShaddad,,al-Jāmiʿ al-Kabīr,16662,238,1,_SHICR
ShamAY0038527,0001CantaraIbnShaddad.Mucallaqa.ShamAY0038527-ara1,معلقة عنترة,Mucallaqa,0001CantaraIbnShaddad,,al-Maktaba al-Shāmila AY,653,5,1,_SHICR
JK007521,0001CurwaIbnWard.Diwan.JK007521-ara1,ديوان عروة بن الورد,Diwan,0001CurwaIbnWard,,al-Jāmiʿ al-Kabīr,2390,47,1,_SHICR
JK007515,0001HajibIbnMudallil.Diwan.JK007515-ara1,ديوان حاجب بن حبيب,Diwan,0001HajibIbnMudallil,,al-Jāmiʿ al-Kabīr,205,4,1,_SHICR_JAHILI :: _SHICR
JK007505,0001HarithIbnHilliza.Diwan.JK007505-ara1,ديوان الحارث بن حلزة,Diwan,0001HarithIbnHilliza,,al-Jāmiʿ al-Kabīr,1594,31,1,_SHICR_JAHILI :: _SHICR
ShamAY0038524,0001HarithIbnHilliza.Mucallaqa.ShamAY0038524-ara1,معلقة الحارث اليشكري,Mucallaqa,0001HarithIbnHilliza,,al-Maktaba al-Shāmila AY,771,5,1,_SHICR
JK007514,0001HatimTai.Diwan.JK007514-ara1,ديوان حاتم الطائي,Diwan,0001HatimTai,,al-Jāmiʿ al-Kabīr,3790,66,1,_SHICR
JK007512,0001ImruQaysIbnHujr.Diwan.JK007512-ara1,ديوان امرؤ القيس,Diwan,0001ImruQaysIbnHujr,,al-Jāmiʿ al-Kabīr,5437,74,1,_SHICR_JAHILI :: _SHICR
JK007528,0001LaqitIbnYacmur.Diwan.JK007528-ara1,ديوان لقيط بن يعمر الإيادي,Diwan,0001LaqitIbnYacmur,,al-Jāmiʿ al-Kabīr,629,9,1,_SHICR_JAHILI :: _SHICR
